espn_id,player,team,position,jersey,height,weight,age,date_of_birth,birth_city,birth_state,birth_country,college,experience,status,headshot,espn_url,salary
4277869,Jose Alvarado,Knicks,G,5,"6' 0""",179 lbs,28,1998-04-12T07:00Z,Brooklyn,NY,USA,Georgia Tech,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4277869.png,https://www.espn.com/nba/player/_/id/4277869/jose-alvarado,4500000
3934719,OG Anunoby,Knicks,F,8,"6' 7""",240 lbs,28,1997-07-17T07:00Z,London,,England,Indiana,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png,https://www.espn.com/nba/player/_/id/3934719/og-anunoby,39568966
3147657,Mikal Bridges,Knicks,G,25,"6' 6""",209 lbs,29,1996-08-30T07:00Z,Malvern,PA,USA,Villanova,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/3147657.png,https://www.espn.com/nba/player/_/id/3147657/mikal-bridges,24900000
3934672,Jalen Brunson,Knicks,G,11,"6' 2""",190 lbs,29,1996-08-31T07:00Z,New Brunswick,NJ,USA,Villanova,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/3934672.png,https://www.espn.com/nba/player/_/id/3934672/jalen-brunson,34944001
2528426,Jordan Clarkson,Knicks,G,00,"6' 5""",194 lbs,33,1992-06-07T07:00Z,San Antonio,TX,USA,Missouri,11,Active,https://a.espncdn.com/i/headshots/nba/players/full/2528426.png,https://www.espn.com/nba/player/_/id/2528426/jordan-clarkson,2296274
5211983,Pacome Dadiet,Knicks,F,4,"6' 9""",210 lbs,20,2005-07-27T07:00Z,Aubagne,,France,,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/5211983.png,https://www.espn.com/nba/player/_/id/5211983/pacome-dadiet,2847600
5289900,Mohamed Diawara,Knicks,F,51,"6' 9""",225 lbs,21,2005-04-29T07:00Z,Paris,,France,,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5289900.png,https://www.espn.com/nba/player/_/id/5289900/mohamed-diawara,1272870
3062679,Josh Hart,Knicks,G,3,"6' 5""",215 lbs,31,1995-03-06T08:00Z,Silver Spring,MD,USA,Villanova,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3062679.png,https://www.espn.com/nba/player/_/id/3062679/josh-hart,19472240
4871141,Ariel Hukporti,Knicks,C,55,"7' 0""",246 lbs,24,2002-04-12T07:00Z,Frankfurt,,Germany,,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4871141.png,https://www.espn.com/nba/player/_/id/4871141/ariel-hukporti,1955377
4395623,Trey Jemison III,Knicks,F,50,"6' 10""",270 lbs,26,1999-11-28T08:00Z,Birmingham,AL,USA,UAB,2,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395623.png,https://www.espn.com/nba/player/_/id/4395623/trey-jemison-iii,0
4702159,Dillon Jones,Knicks,F,33,"6' 5""",235 lbs,24,2001-10-29T08:00Z,Columbia,SC,USA,Weber State,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4702159.png,https://www.espn.com/nba/player/_/id/4702159/dillon-jones,2753280
